合肥,688,477
安庆,139,145
蚌埠,153,132
亳州,58,51
巢湖,1,2
池州,201,223
滁州,101,117
阜阳,80,66
淮北,59,35
淮南,75,65
黄山,1473,1342
六安,85,104
马鞍山,84,120
宿州,69,58
铜陵,65,65
芜湖,182,233
宣城,151,330
福州,607,377
龙岩,219,134
南平,353,267
宁德,136,163
莆田,145,91
泉州,282,206
三明,87,66
厦门,1770,1270
漳州,267,161
广州,1606,829
潮州,61,59
东莞,349,216
佛山,314,162
河源,43,30
惠州,208,126
江门,124,77
揭阳,39,43
茂名,57,34
梅州,59,26
清远,99,40
汕头,128,111
汕尾,35,27
韶关,125,66
深圳,1531,746
阳江,55,43
云浮,34,17
湛江,139,82
肇庆,130,68
中山,221,124
珠海,703,362
南宁,573,230
百色,96,54
北海,429,181
崇左,143,67
防城港,74,39
桂林,1095,641
贵港,31,24
河池,48,30
贺州,47,25
来宾,31,18
柳州,191,94
钦州,53,35
梧州,56,31
玉林,58,38
贵阳,657,313
安顺,584,320
毕节地区,65,39
六盘水,66,34
铜仁地区,103,48
遵义,176,126
黔西南州,85,40
黔东南州,324,144
黔南州,154,82
兰州,959,407
白银,83,24
定西,62,27
甘南州,230,91
嘉峪关,454,240
金昌,36,17
酒泉,808,392
临夏州,95,36
陇南,52,19
平凉,69,29
庆阳,37,15
天水,214,78
武威,114,47
张掖,411,207
海口,827,354
白沙,19,14
保亭,61,27
昌江,22,12
儋州,50,27
澄迈,36,22
东方,34,22
定安,21,13
琼海,188,86
琼中,35,15
乐东,24,17
临高,19,11
陵水,111,51
三亚,1436,762
屯昌,22,10
万宁,220,98
文昌,174,69
五指山,144,55
郑州,1470,518
安阳,314,76
鹤壁,86,28
焦作,846,236
开封,757,269
洛阳,1182,416
漯河,88,40
南阳,168,75
平顶山,128,54
濮阳,96,34
三门峡,163,58
商丘,155,75
新乡,346,108
信阳,170,86
许昌,148,48
周口,90,36
驻马店,123,39
哈尔滨,1657,568
大庆,220,66
大兴安岭地区,398,125
鹤岗,49,19
黑河,178,50
鸡西,64,28
佳木斯,141,58
牡丹江,524,190
七台河,36,15
齐齐哈尔,267,75
双鸭山,35,18
绥化,68,30
伊春,121,32
武汉,1640,750
鄂州,51,23
恩施,125,72
黄冈,105,67
黄石,100,60
荆门,76,29
荆州,199,88
潜江,34,16
神农架林区,0,0
十堰,472,191
随州,40,25
天门,37,18
仙桃,45,18
咸宁,162,72
襄阳,212,108
孝感,110,44
宜昌,454,194
长沙,1292,564
常德,146,65
郴州,84,41
衡阳,243,122
怀化,195,104
娄底,77,36
邵阳,63,33
湘潭,291,131
湘西州,1005,477
益阳,67,39
永州,52,29
岳阳,310,138
张家界,738,373
株洲,178,112
石家庄,1550,209
保定,2562,165
沧州,371,54
承德,1912,183
邯郸,428,73
衡水,292,38
廊坊,1026,69
秦皇岛,2856,302
唐山,962,88
邢台,269,43
张家口,1227,67
南京,2235,1689
常州,348,877
淮安,123,156
连云港,223,288
南通,148,438
苏州,2238,2034
宿迁,73,81
泰州,156,248
无锡,1063,1374
徐州,360,298
盐城,123,219
扬州,872,852
镇江,445,622
南昌,768,433
抚州,49,46
赣州,113,77
吉安,210,124
景德镇,405,180
九江,951,547
萍乡,66,66
上饶,891,734
新余,41,44
宜春,87,73
鹰潭,130,143
长春,979,307
白城,101,31
白山,202,71
吉林市,530,154
辽源,59,16
四平,154,43
松原,104,27
通化,193,46
延边,880,273
沈阳,1441,440
鞍山,287,73
本溪,258,60
朝阳,99,27
大连,1846,556
丹东,352,94
抚顺,249,55
阜新,89,22
葫芦岛,936,65
锦州,500,80
辽阳,149,42
盘锦,375,48
铁岭,159,38
营口,252,53
银川,706,184
固原,77,17
石嘴山,90,37
吴忠,105,26
中卫,573,146
呼和浩特,879,161
阿拉善盟,383,120
包头,514,94
巴彦淖尔,141,22
赤峰,830,95
鄂尔多斯,392,82
呼伦贝尔,1042,333
通辽,173,36
乌海,108,23
乌兰察布,250,37
锡林郭勒盟,663,78
兴安盟,298,62
西宁,950,334
果洛州,53,21
海东地区,113,36
海北州,316,101
海南州,959,347
海西州,726,299
黄南州,77,19
玉树州,264,121
济南,2088,600
滨州,139,38
东营,243,45
德州,354,74
菏泽,175,49
济宁,904,294
莱芜,115,25
聊城,182,55
临沂,377,136
青岛,2576,959
日照,502,210
泰安,2500,700
威海,1015,316
潍坊,482,105
烟台,1346,426
枣庄,228,79
淄博,364,101
太原,1666,320
长治,187,43
大同,1141,153
晋城,209,59
晋中,2448,440
临汾,605,149
吕梁,184,30
朔州,168,37
忻州,907,148
阳泉,168,32
运城,235,57
西安,2529,992
安康,97,46
宝鸡,380,161
汉中,195,47
商洛,58,33
铜川,104,46
渭南,998,402
咸阳,513,243
延安,376,117
榆林,194,42
成都,2090,907
阿坝州,1917,876
巴中,41,20
达州,62,38
德阳,152,60
甘孜州,1308,681
广安,70,29
广元,140,45
乐山,1200,528
凉山州,554,248
泸州,89,38
南充,153,74
眉山,147,64
绵阳,220,113
内江,53,29
攀枝花,71,37
遂宁,56,33
雅安,253,121
宜宾,144,53
资阳,35,17
自贡,83,34
拉萨,739,288
阿里地区,183,77
昌都地区,142,63
林芝地区,732,296
那曲地区,234,77
日喀则地区,527,211
山南地区,473,192
乌鲁木齐,610,245
阿拉尔,17,14
阿克苏地区,145,68
阿勒泰地区,579,293
巴音郭楞,242,106
博尔塔拉州,62,34
昌吉州,191,85
哈密地区,139,61
和田地区,55,29
喀什地区,125,51
克拉玛依,181,79
克孜勒苏州,43,19
石河子,114,50
塔城地区,42,18
图木舒克,13,10
吐鲁番地区,305,135
五家渠,40,16
伊犁州,189,90
昆明,1759,757
保山,284,120
楚雄州,208,113
大理州,2615,1132
德宏州,224,80
迪庆州,1581,859
红河州,132,57
丽江,1709,749
临沧,34,25
怒江州,112,45
普洱,136,49
曲靖,145,50
昭通,56,20
文山,128,66
西双版纳,498,183
玉溪,114,56
杭州,2804,2115
湖州,229,611
嘉兴,2340,2557
金华,483,1060
丽水,71,192
宁波,629,1062
衢州,70,196
绍兴,601,919
台州,150,321
温州,279,540
舟山,656,1197
香港,1575,914
澳门,894,501
北京,0,0
上海,3190,670
天津,3820,653
重庆,1474,711
济源,58,28
台湾,0,0
