合肥,688,110
安庆,139,19
蚌埠,153,18
亳州,58,7
巢湖,1,0
池州,201,46
滁州,101,14
阜阳,80,9
淮北,59,9
淮南,75,7
黄山,1473,292
六安,85,11
马鞍山,84,13
宿州,69,10
铜陵,65,10
芜湖,182,31
宣城,151,28
福州,607,112
龙岩,219,39
南平,353,58
宁德,136,13
莆田,145,15
泉州,282,45
三明,87,10
厦门,1770,334
漳州,267,58
广州,1606,241
潮州,61,4
东莞,349,34
佛山,314,30
河源,43,5
惠州,208,30
江门,124,15
揭阳,39,8
茂名,57,8
梅州,59,4
清远,99,13
汕头,128,10
汕尾,35,3
韶关,125,17
深圳,1531,210
阳江,55,8
云浮,34,2
湛江,139,28
肇庆,130,23
中山,221,28
珠海,703,95
南宁,573,62
百色,96,9
北海,429,42
崇左,143,17
防城港,74,3
桂林,1095,187
贵港,31,4
河池,48,3
贺州,47,1
来宾,31,4
柳州,191,21
钦州,53,6
梧州,56,5
玉林,58,5
贵阳,657,103
安顺,584,100
毕节地区,65,11
六盘水,66,10
铜仁地区,103,16
遵义,176,28
黔西南州,85,19
黔东南州,324,51
黔南州,154,41
兰州,959,136
白银,83,12
定西,62,14
甘南州,230,18
嘉峪关,454,49
金昌,36,4
酒泉,808,83
临夏州,95,8
陇南,52,6
平凉,69,3
庆阳,37,7
天水,214,31
武威,114,16
张掖,411,60
海口,827,129
白沙,19,4
保亭,61,13
昌江,22,5
儋州,50,13
澄迈,36,10
东方,34,13
定安,21,6
琼海,188,32
琼中,35,7
乐东,24,8
临高,19,6
陵水,111,25
三亚,1436,256
屯昌,22,5
万宁,220,51
文昌,174,23
五指山,144,24
郑州,1470,231
安阳,314,53
鹤壁,86,6
焦作,846,212
开封,757,107
洛阳,1182,203
漯河,88,4
南阳,168,19
平顶山,128,18
濮阳,96,11
三门峡,163,25
商丘,155,14
新乡,346,54
信阳,170,11
许昌,148,6
周口,90,8
驻马店,123,10
哈尔滨,1657,300
大庆,220,24
大兴安岭地区,398,50
鹤岗,49,4
黑河,178,28
鸡西,64,6
佳木斯,141,17
牡丹江,524,88
七台河,36,0
齐齐哈尔,267,35
双鸭山,35,1
绥化,68,4
伊春,121,14
武汉,1640,258
鄂州,51,3
恩施,125,12
黄冈,105,10
黄石,100,7
荆门,76,12
荆州,199,24
潜江,34,4
神农架林区,0,0
十堰,472,55
随州,40,3
天门,37,3
仙桃,45,3
咸宁,162,11
襄阳,212,18
孝感,110,12
宜昌,454,65
长沙,1292,177
常德,146,16
郴州,84,6
衡阳,243,30
怀化,195,16
娄底,77,7
邵阳,63,3
湘潭,291,37
湘西州,1005,173
益阳,67,10
永州,52,6
岳阳,310,41
张家界,738,125
株洲,178,20
石家庄,1550,298
保定,2562,571
沧州,371,167
承德,1912,377
邯郸,428,78
衡水,292,66
廊坊,1026,211
秦皇岛,2856,664
唐山,962,283
邢台,269,57
张家口,1227,161
南京,2235,472
常州,348,54
淮安,123,20
连云港,223,56
南通,148,19
苏州,2238,468
宿迁,73,12
泰州,156,20
无锡,1063,215
徐州,360,62
盐城,123,16
扬州,872,163
镇江,445,80
南昌,768,104
抚州,49,4
赣州,113,10
