合肥,安庆,蚌埠,池州,滁州,阜阳,淮北,淮南,黄山,六安,马鞍山,宿州,铜陵,芜湖,宣城,福州,龙岩,南平,宁德,莆田,泉州,三明,厦门,漳州,广州,潮州,东莞,佛山,河源,惠州,江门,揭阳,茂名,梅州,清远,汕头,汕尾,韶关,深圳,阳江,云浮,湛江,肇庆,中山,珠海,南宁,北海,防城港,桂林,贺州,柳州,钦州,梧州,贵阳,安顺,六盘水,铜仁地区,遵义,黔东南州,兰州,白银,酒泉,庆阳,海口,三亚,郑州,安阳,鹤壁,焦作,开封,洛阳,漯河,南阳,平顶山,濮阳,三门峡,商丘,新乡,信阳,许昌,哈尔滨,大庆,大兴安岭地区,佳木斯,牡丹江,齐齐哈尔,伊春,武汉,鄂州,恩施,黄冈,黄石,荆门,荆州,十堰,随州,咸宁,襄阳,孝感,宜昌,长沙,常德,郴州,衡阳,怀化,娄底,湘潭,湘西州,益阳,永州,岳阳,张家界,株洲,石家庄,保定,沧州,承德,邯郸,衡水,廊坊,秦皇岛,唐山,邢台,张家口,南京,常州,淮安,连云港,南通,苏州,宿迁,泰州,无锡,徐州,盐城,扬州,镇江,南昌,抚州,赣州,景德镇,九江,萍乡,上饶,新余,宜春,鹰潭,长春,白城,白山,吉林市,四平,通化,延边,沈阳,鞍山,本溪,朝阳,大连,丹东,抚顺,阜新,葫芦岛,锦州,辽阳,盘锦,铁岭,营口,银川,呼和浩特,包头,巴彦淖尔,赤峰,鄂尔多斯,呼伦贝尔,乌兰察布,锡林郭勒盟,兴安盟,西宁,济南,滨州,东营,德州,菏泽,济宁,莱芜,聊城,临沂,青岛,日照,泰安,威海,潍坊,烟台,枣庄,淄博,太原,长治,大同,晋城,晋中,临汾,吕梁,朔州,忻州,阳泉,运城,西安,安康,宝鸡,汉中,铜川,渭南,咸阳,延安,榆林,成都,阿坝州,德阳,广安,广元,乐山,泸州,南充,眉山,绵阳,内江,攀枝花,遂宁,雅安,宜宾,自贡,拉萨,乌鲁木齐,巴音郭楞,昌吉州,克拉玛依,石河子,昆明,大理州,丽江,西双版纳,杭州,湖州,嘉兴,金华,丽水,宁波,衢州,绍兴,台州,温州,舟山,香港,澳门,北京,上海,天津,重庆
10000,202,163,201,159,99,80,152,402,211,89,80,80,285,158,28,13,19,8,8,18,5,139,14,102,5,19,17,1,22,4,4,3,4,8,5,1,6,101,6,10000,6,7,15,48,24,13,4,72,1,7,2,6,34,37,7,7,17,14,45,6,39,1,40,58,99,6,6,37,55,62,4,12,9,3,11,16,17,17,4,61,11,10,7,21,9,5,209,1,6,14,3,7,11,16,10000,9,12,5,23,96,11,4,11,9,9,17,60,6,4,10,42,10,39,17,9,22,12,5,10,43,16,6,10,356,85,17,52,21,240,16,17,144,62,12,132,78,74,4,14,39,97,13,71,4,11,16,30,4,8,12,3,6,25,42,7,6,4,48,6,7,1,9,11,1,7,5,6,18,19,13,2,10,8,36,2,4,2,37,72,8,8,11,10,42,8,14,16,155,65,89,37,25,50,22,12,35,1,19,6,34,6,4,1,16,3,4,137,7,12,4,4,42,21,6,4,103,108,4,4,6,35,1,8,3,12,3,4,3,14,3,5,28,20,6,5,3,2,109,160,105,18,276,41,202,65,11,76,14,72,20,30,91,85,49,288,324,91,94
135,10000,47,109,53,42,30,31,199,55,39,31,51,91,78,57,29,39,45,32,42,27,144,37,138,33,56,51,27,61,42,28,32,28,39,38,28,47,140,32,30,38,41,45,84,50,66,21,107,20,29,19,21,57,81,27,25,52,51,67,17,93,17,59,104,93,37,19,89,79,87,23,35,31,20,33,37,37,35,32,90,32,86,30,64,39,29,150,19,31,35,19,16,64,103,19,48,36,28,46,108,23,19,30,40,19,46,121,20,18,42,93,34,64,109,24,79,32,22,28,82,41,26,43,165,52,22,40,34,171,22,24,97,44,23,80,51,75,15,26,45,110,24,117,18,35,24,46,15,25,30,19,33,62,75,30,30,17,101,41,26,22,33,35,28,30,23,27,65,62,35,17,48,33,113,22,65,49,64,112,20,26,25,27,69,19,24,59,149,54,137,54,35,72,29,33,62,17,47,18,116,45,19,12,55,11,17,179,39,58,25,21,84,39,41,24,141,224,28,31,26,107,21,58,26,29,19,21,20,41,29,24,82,68,69,28,24,22,113,194,134,57,223,36,223,92,24,62,21,47,22,32,83,113,71,300,213,128,97
49,19,10000,19,47,16,12,22,49,15,11,20,6,32,17,5,1,2,1,10000,3,1,23,2,12,10000,3,1,10000,1,1,10000,10000,10000,10000,10000,10000,10000,10,10000,10000,10000,1,2,4,4,3,10000,7,1,1,10000,1,1,3,10000,10000,10000,2,3,1,4,10000,6,10,10,2,10000,14,12,13,2,4,4,10000,2,5,7,1,2,12,10000,10000,1,4,1,10000,29,1,2,3,1,3,4,7,2,2,3,1,3,18,1,1,2,4,1,6,10,1,1,3,9,2,1,2,10000,4,2,10000,2,3,2,1,10000,58,14,5,18,2,38,6,4,21,23,2,19,10,2,10000,1,6,12,10000,6,10000,10000,1,4,10000,2,1,10000,10000,2,5,10000,10000,10000,5,10000,10000,10000,2,1,10000,10000,10000,10000,1,3,1,10000,2,10000,3,10000,1,10000,5,15,10000,10000,2,1,14,10000,10000,10000,22,22,30,7,4,11,9,10000,3,1,3,1,4,1,10000,1,1,10000,10000,28,2,4,2,10000,8,3,2,1,11,12,10000,10000,1,6,10000,10000,10000,10000,10000,10000,10000,1,1,10000,5,3,10000,1,1,10000,14,20,16,1,40,7,30,14,1,11,1,3,1,3,10,10,8,39,48,13,4
19,18,5,10000,12,4,4,8,28,11,7,4,14,18,18,3,2,3,3,4,2,1,5,2,3,10000,10000,1,10000,10000,10000,10000,10000,10000,10000,1,10000,1,4,1,1,10000,10000,10000,3,2,2,10000,1,1,10000,1,1,3,2,1,10000,1,1,2,10000,2,1,3,3,5,2,3,7,4,3,2,5,3,3,4,3,3,4,4,4,2,3,1,2,2,1,8,1,2,2,2,1,6,6,1,2,2,2,4,5,1,1,2,3,10000,2,4,1,10000,2,2,2,1,2,2,3,1,2,2,3,2,10000,1,18,6,5,3,4,10,5,3,7,5,3,6,4,6,1,2,3,10,2,7,10000,1,2,3,1,1,2,1,2,4,5,1,1,1,2,1,1,10000,1,1,1,10000,1,10000,1,2,1,10000,2,10000,2,1,2,2,2,8,2,1,2,3,6,2,2,4,6,3,7,4,3,4,2,2,3,1,3,1,3,3,10000,1,3,1,1,4,3,2,1,1,2,1,1,1,1,4,10000,10000,10000,2,10000,2,1,1,1,1,1,1,1,1,4,1,3,1,1,1,2,6,3,10000,14,3,9,7,2,4,1,3,2,3,8,5,2,17,16,6,4
36,9,16,8,10000,5,5,7,33,8,13,6,4,27,11,1,10000,10000,10000,1,10000,10000,5,2,4,10000,10000,1,10000,3,10000,10000,10000,10000,10000,10000,10000,10000,3,10000,10000,1,1,10000,10000,1,1,10000,3,10000,10000,10000,10000,1,10000,10000,10000,10000,1,2,10000,2,10000,3,4,5,10000,10000,2,2,6,10000,1,10000,10000,10000,10000,1,10000,10000,1,10000,10000,10000,10000,10000,10000,9,10000,1,1,2,1,2,1,10000,1,1,1,3,8,10000,10000,2,10000,10000,1,7,1,10000,3,2,3,10000,10000,10000,10000,10000,10000,10000,1,10000,10000,1,50,9,4,6,3,25,1,10000,9,7,1,19,9,5,10000,10000,4,9,2,7,10000,1,10000,1,10000,10000,2,10000,10000,2,2,10000,10000,10000,3,10000,10000,10000,10000,10000,10000,10000,10000,10000,2,3,1,10000,10000,1,10000,2,10000,10000,4,5,10000,10000,3,1,5,10000,10000,3,10,7,9,10000,10000,4,1,3,2,10000,2,10000,4,3,10000,10000,3,10000,10000,11,10000,10000,10000,10000,2,2,3,1,5,2,10000,1,10000,3,10000,10000,1,1,10000,3,10000,10000,10000,10000,4,2,10000,10000,10000,10000,7,13,8,1,28,1,13,4,10000,4,10000,8,1,2,5,4,4,20,35,3,6
41,7,15,17,10,10000,8,12,25,19,6,8,4,26,9,5,2,2,2,1,1,1,10,4,7,10000,4,1,1,5,2,10000,10000,10000,1,10000,10000,2,7,10000,10000,1,1,2,2,3,3,10000,8,10000,2,10000,10000,10000,10000,10000,10000,10000,10000,4,1,2,1,8,12,10,1,10000,6,9,8,2,4,4,10000,1,4,3,4,1,7,10000,1,10000,2,10000,10000,14,10000,1,2,10000,2,10000,3,1,1,10000,1,3,5,10000,10000,10000,10000,10000,4,5,10000,10000,3,5,3,1,1,10000,10000,10000,10000,10000,4,1,1,10000,27,9,2,7,2,26,10000,2,13,10,1,10,4,9,1,4,2,11,1,9,1,2,2,10000,10000,10000,1,10000,10000,1,5,10000,10000,10000,6,2,1,1,1,1,10000,10000,10000,10000,10000,10000,1,10000,1,1,7,10000,1,1,1,12,1,1,1,2,5,10000,10000,10000,19,10,15,5,2,7,2,2,5,1,1,3,5,10000,10000,10000,1,10000,1,10,1,10000,10000,10000,1,3,2,10000,5,13,1,2,1,3,10000,10000,1,1,1,10000,10000,10000,2,10000,2,1,10000,10000,10000,10000,11,18,9,2,27,1,17,4,1,9,1,6,1,3,8,10,4,28,36,9,9
21,4,7,5,5,6,10000,9,13,6,4,14,1,8,2,4,10000,2,10000,10000,2,10000,5,10000,5,10000,2,10000,10000,2,10000,10000,10000,10000,10000,1,10000,10000,5,10000,10000,1,1,2,1,2,10000,10000,4,10000,10000,10000,10000,1,1,10000,10000,10000,10000,4,2,4,1,4,5,4,2,1,5,7,2,2,1,1,1,1,5,1,1,2,4,10000,10000,10000,10000,10000,10000,10,1,10000,1,10000,10000,2,2,10000,10000,10000,10000,3,7,1,10000,1,10000,10000,3,4,10000,10000,2,3,1,3,10000,10000,2,10000,10000,1,2,10000,10000,10000,22,4,2,15,2,18,4,3,5,20,4,10,1,2,10000,10000,10000,5,10000,3,10000,10000,10000,1,10000,10000,10000,10000,10000,10000,2,1,10000,10000,3,10000,10000,10000,10000,10000,10000,10000,10000,10000,2,1,10000,1,10000,10000,4,10000,1,1,2,8,1,1,2,2,8,2,1,6,10,10,8,5,1,6,6,2,2,10000,1,10000,2,2,1,10000,10000,2,10000,7,10000,10000,10000,10000,3,10000,3,1,5,4,10000,10000,10000,1,1,10000,10000,10000,10000,10000,10000,10000,1,10000,3,1,1,10000,10000,10000,8,11,7,3,17,1,11,4,10000,1,10000,1,2,1,10000,5,2,14,18,3,3
48,15,28,15,16,23,11,10000,49,26,4,12,7,29,13,8,2,4,10000,2,4,10000,17,1,9,1,3,3,1,5,10000,2,10000,10000,10000,2,10000,10000,7,10000,10000,1,10000,10000,1,4,1,2,10,10000,2,10000,1,4,2,10000,10000,3,1,6,10000,6,10000,2,8,10,2,10000,10,8,11,1,2,2,10000,10000,1,5,1,2,9,10000,1,1,1,10000,10000,26,10000,3,5,10000,2,2,9,1,2,3,1,6,8,10000,10000,1,1,10000,1,6,10000,10000,1,5,1,1,2,1,3,10000,1,10000,2,2,1,10000,42,11,1,6,2,29,1,4,13,11,1,18,6,9,10000,3,3,12,1,9,10000,1,1,2,10000,10000,2,1,10000,1,4,2,2,10000,11,1,1,10000,2,10000,2,10000,2,2,5,5,2,10000,10000,1,13,10000,1,1,7,10,1,1,2,10000,6,1,10000,2,18,8,14,5,2,8,3,2,7,10000,2,1,12,4,10000,10000,3,10000,1,17,10000,7,3,10000,4,5,6,1,11,23,1,10000,10000,10,10000,10000,1,1,10000,10000,10000,1,10000,10000,6,2,3,10000,1,1,18,16,14,6,30,6,37,7,1,11,1,5,2,3,10,8,3,39,36,11,13
15,4,2,9,6,3,1,4,10000,4,5,10000,2,10,8,5,10000,2,10000,10000,1,10000,11,10000,4,10000,1,2,1,2,2,1,1,2,10000,1,1,10000,4,2,10000,1,1,4,4,2,1,10000,6,10000,10000,10000,10000,1,1,10000,1,10000,1,1,10000,2,10000,3,5,4,10000,10000,10000,1,2,1,10000,10000,10000,10000,10000,10000,10000,10000,1,10000,10000,1,10000,10000,10000,3,10000,10000,10000,10000,10000,2,10000,10000,2,10000,10000,1,4,2,10000,2,1,10000,3,6,10000,10000,3,1,2,10000,10000,2,1,10000,10000,10000,2,1,10000,10000,14,3,10000,10000,10000,12,10000,10000,4,1,1,2,10000,3,10000,10000,5,4,1,11,10000,10000,1,10000,10000,1,1,10000,10000,10000,10000,10000,10000,10000,4,10000,10000,10000,3,10000,10000,10000,10000,10000,1,2,10000,10000,10000,1,3,10000,1,1,10000,5,10000,10000,10000,1,10000,10000,10000,10000,4,1,6,10000,10000,3,10000,10000,1,1,1,10000,1,1,10000,10000,2,10000,10000,10,10000,10000,10000,10000,4,3,10000,10000,7,5,10000,10000,10000,3,10000,10000,10000,10000,10000,10000,10000,1,10000,10000,3,1,10000,10000,10000,10000,9,15,12,3,16,2,14,6,1,7,1,3,2,10000,6,7,3,20,12,6,8
38,15,16,13,12,4,6,13,24,10000,7,2,5,17,11,2,1,5,10000,10000,10000,2,9,3,5,10000,1,2,10000,5,10000,10000,10000,10000,1,10000,10000,10000,8,10000,10000,10000,1,10000,5,1,1,10000,4,10000,10000,10000,10000,3,3,1,10000,10000,1,4,1,3,10000,2,5,6,10000,10000,4,1,5,10000,10000,10000,1,10000,2,10000,3,10000,4,1,1,10000,2,2,1,20,10000,10000,10000,10000,10000,10000,4,10000,10000,1,10000,4,8,10000,1,10000,1,10000,5,7,10000,10000,10000,5,1,2,3,10000,3,1,10000,10000,4,2,1,2,27,6,1,2,10000,21,1,10000,9,5,10000,10,6,1,10000,10000,2,9,10000,3,10000,10000,1,2,10000,1,1,10000,10000,2,2,10000,10000,10000,5,10000,10000,10000,1,10000,10000,10000,10000,10000,10000,1,10000,10000,3,10000,8,2,3,3,3,6,10000,1,10000,2,4,10000,1,3,12,5,9,10000,1,2,3,1,2,10000,1,2,6,10000,10000,1,10000,10000,10000,10,1,10000,10000,10000,2,2,1,10000,8,8,10000,10000,10000,6,10000,10000,2,10000,10000,1,10000,3,10000,10000,2,1,10000,10000,10000,10000,6,9,7,2,17,3,15,2,1,5,10000,3,2,10000,4,7,5,22,31,6,3
