合肥,安庆,蚌埠,池州,滁州,阜阳,淮北,淮南,黄山,六安,马鞍山,宿州,铜陵,芜湖,宣城,福州,龙岩,南平,宁德,莆田,泉州,三明,厦门,漳州,广州,潮州,东莞,佛山,河源,惠州,江门,揭阳,茂名,梅州,清远,汕头,汕尾,韶关,深圳,阳江,云浮,湛江,肇庆,中山,珠海,南宁,北海,防城港,桂林,贺州,柳州,钦州,梧州,贵阳,安顺,六盘水,铜仁地区,遵义,黔东南州,兰州,白银,酒泉,庆阳,海口,三亚,郑州,安阳,鹤壁,焦作,开封,洛阳,漯河,南阳,平顶山,濮阳,三门峡,商丘,新乡,信阳,许昌,哈尔滨,大庆,大兴安岭地区,佳木斯,牡丹江,齐齐哈尔,伊春,武汉,鄂州,恩施,黄冈,黄石,荆门,荆州,十堰,随州,咸宁,襄阳,孝感,宜昌,长沙,常德,郴州,衡阳,怀化,娄底,湘潭,湘西州,益阳,永州,岳阳,张家界,株洲,石家庄,保定,沧州,承德,邯郸,衡水,廊坊,秦皇岛,唐山,邢台,张家口,南京,常州,淮安,连云港,南通,苏州,宿迁,泰州,无锡,徐州,盐城,扬州,镇江,南昌,抚州,赣州,景德镇,九江,萍乡,上饶,新余,宜春,鹰潭,长春,白城,白山,吉林市,四平,通化,延边,沈阳,鞍山,本溪,朝阳,大连,丹东,抚顺,阜新,葫芦岛,锦州,辽阳,盘锦,铁岭,营口,银川,呼和浩特,包头,巴彦淖尔,赤峰,鄂尔多斯,呼伦贝尔,乌兰察布,锡林郭勒盟,兴安盟,西宁,济南,滨州,东营,德州,菏泽,济宁,莱芜,聊城,临沂,青岛,日照,泰安,威海,潍坊,烟台,枣庄,淄博,太原,长治,大同,晋城,晋中,临汾,吕梁,朔州,忻州,阳泉,运城,西安,安康,宝鸡,汉中,铜川,渭南,咸阳,延安,榆林,成都,阿坝州,德阳,广安,广元,乐山,泸州,南充,眉山,绵阳,内江,攀枝花,遂宁,雅安,宜宾,自贡,拉萨,乌鲁木齐,巴音郭楞,昌吉州,克拉玛依,石河子,昆明,大理州,丽江,西双版纳,杭州,湖州,嘉兴,金华,丽水,宁波,衢州,绍兴,台州,温州,舟山,香港,澳门,北京,上海,天津,重庆
10000,337,212,220,195,140,101,200,417,249,135,108,99,384,180,56,16,20,12,14,31,6,185,17,251,9,37,36,10001,26,11,5,5,10004,9,11,10001,8,221,7,10001,11,9,21,63,44,10013,10004,80,10001,13,10002,7,47,39,9,8,20,10014,60,8,40,10001,53,68,175,11,7,48,63,78,12,16,13,8,14,24,28,24,17,96,16,10010,8,10021,11,6,388,2,7,21,12,12,18,23,10001,12,19,11,31,146,15,5,14,12,11,24,10060,7,7,15,45,14,79,29,12,23,18,10005,16,51,27,9,16,589,116,28,65,34,343,22,25,198,100,18,153,94,113,5,24,43,104,15,75,7,14,19,54,10004,10008,17,6,8,26,92,11,10006,7,103,10,9,2,12,13,3,8,7,8,22,30,15,3,13,10,40,3,7,10002,42,125,10,10,16,16,56,11,18,28,227,71,93,42,32,63,25,20,74,4,22,7,39,12,6,2,17,10003,8,259,9,20,5,5,44,23,8,6,206,10108,5,6,7,36,10001,11,10003,19,4,5,5,10014,8,7,36,25,8,7,5,10002,135,163,111,10018,435,46,220,78,13,122,16,84,28,59,93,99,55,976,801,201,154
337,10000,66,127,62,49,34,46,203,70,56,41,62,133,87,61,31,10039,10045,34,46,10027,150,10037,169,36,61,56,10027,64,46,10028,10032,10028,10039,41,10028,49,162,10032,10030,40,42,10045,89,58,10066,10021,108,10020,33,10019,22,59,83,10027,10025,10052,52,70,18,95,10017,61,106,101,10037,10019,91,10079,91,25,37,10031,21,10033,38,39,37,10032,97,37,10086,10030,10064,41,10029,231,10019,32,41,23,10016,66,104,10019,10048,37,30,49,121,10023,10019,10030,10040,10019,48,10121,10020,19,45,10093,38,68,10109,25,80,10032,10022,30,83,43,27,10043,252,62,26,45,39,213,24,25,116,55,28,93,62,95,10015,32,46,116,25,119,10018,37,10024,55,10015,10025,10030,10019,10033,63,83,31,31,19,109,42,10026,23,34,10035,10028,10030,24,28,10065,66,10035,18,10048,10033,114,23,10065,10049,65,120,21,10026,26,10027,71,10019,25,61,162,10054,138,57,37,76,32,34,64,10017,10047,10018,117,10045,10019,13,10055,10011,19,194,10039,10058,10025,10021,10084,40,42,25,160,10224,10028,32,27,10107,10021,10058,10026,30,10019,10021,21,10041,10029,25,83,10068,10069,10028,10024,10022,119,195,136,10057,259,39,227,95,10024,82,22,51,23,38,10083,118,74,439,358,147,111
212,66,10000,24,63,31,19,50,51,31,20,39,12,53,21,10,3,10002,10001,10001,10003,10001,32,3,35,10003,6,4,20000,3,2,20000,20000,20000,20000,10005,20000,20000,27,20000,20000,20000,2,4,10004,10,10003,20000,10,10001,2,20000,10001,6,10003,10001,20000,20000,10002,10,10001,10004,20000,8,13,32,6,10001,18,14,21,4,5,5,20000,10002,10,8,3,6,25,10004,20000,2,6,2,20000,45,10001,10002,5,4,4,5,10007,3,10002,6,2,5,33,10001,2,3,10004,10001,7,10010,10001,3,10003,10009,5,9,8,10001,5,5,20000,5,5,4,4,20000,113,21,7,23,9,76,10,5,40,42,5,27,15,6,20000,5,10006,16,10001,8,20000,10001,10001,12,10001,10002,2,10001,20000,10002,14,10002,20000,10002,17,20000,20000,10001,4,2,10003,10001,20000,10001,10001,8,10001,10001,10002,20000,10003,20000,10001,20000,7,30,10002,10003,4,3,19,20000,20000,10005,47,10022,32,9,8,15,13,10004,12,3,10003,10001,6,3,20000,10001,10001,20000,10003,47,10002,5,10002,20000,10008,4,3,2,34,10012,20000,20000,10001,10006,20000,20000,20000,10001,20000,20000,10001,10001,10001,10001,7,10003,20000,10001,2,20000,23,21,17,10001,79,12,37,20,2,26,2,5,3,15,11,16,9,192,180,31,11
220,127,24,10000,20,21,9,23,37,24,29,14,31,66,37,11,5,10003,4,6,8,10001,15,3,47,10004,10008,8,20000,10002,10002,20000,10001,20000,20000,4,20000,2,36,10001,10001,10001,20000,10001,6,5,3,20000,4,10001,10002,10001,10001,6,4,3,20000,3,10001,10,20000,3,10001,4,7,14,3,4,12,5,9,5,9,6,5,10004,6,6,5,10004,21,7,10003,3,10002,3,10001,47,10001,10002,4,5,10001,8,10006,10001,10002,4,4,10004,25,2,10001,4,4,10004,10002,10004,10001,10001,5,10002,6,10,5,10002,4,4,10002,3,5,4,10002,2,142,31,12,5,12,62,7,8,39,16,6,20,22,21,10001,8,5,14,10002,10,10001,4,3,8,10001,10001,3,2,10002,10004,16,10001,10001,3,19,10001,3,20000,3,10001,10001,10001,2,10001,10001,6,10001,10002,10002,20000,10002,10001,3,10002,5,22,5,5,3,4,7,10002,4,7,33,10003,8,5,6,12,10002,10002,13,10001,7,2,10003,4,20000,10001,4,3,3,17,10003,10002,10001,10001,10002,3,3,10001,23,10004,20000,10001,10002,3,20000,10002,10001,2,10001,10001,3,10001,2,10001,5,3,10003,10001,10001,10001,11,8,7,10001,79,9,18,12,3,28,3,7,6,12,10008,9,8,218,239,52,21
195,62,63,20,10000,15,10,23,39,20,27,22,11,45,13,9,10002,20000,20000,10001,10002,20000,12,10002,22,10004,10004,5,20000,5,20000,20000,20000,10001,20000,10005,20000,20000,9,20000,20000,10001,2,20000,20000,4,10001,20000,5,20000,10002,20000,20000,4,10001,10003,20000,10001,10001,5,20000,10002,20000,4,6,14,10004,20000,5,4,10,10004,4,10002,20000,20000,10003,10001,20000,10001,9,10003,20000,20000,10001,20000,20000,29,20000,10001,10001,5,10001,10002,10001,10001,10001,2,4,4,25,10001,10002,3,20000,20000,10001,10007,10001,10002,5,10002,6,10010,10001,20000,10001,20000,20000,10001,4,20000,10002,10001,207,21,11,14,16,66,6,10003,31,21,5,36,22,9,20000,10002,10004,10,10002,8,20000,3,20000,3,20000,20000,3,10001,20000,3,8,20000,20000,10002,7,20000,10001,10001,10001,20000,10002,10001,20000,20000,3,6,10001,10002,20000,10001,10001,10002,10001,20000,7,11,10003,10002,5,10001,8,20000,20000,5,24,10007,10,10003,10003,8,4,5,9,10002,10002,20000,10004,10003,20000,20000,10003,20000,10002,26,20000,20000,20000,20000,10002,3,4,2,16,3,20000,2,20000,10003,20000,20000,10001,10001,10001,10003,10001,20000,20000,20000,6,10002,20000,20000,20000,20000,14,14,9,10001,41,3,18,8,20000,21,10001,9,3,11,6,11,6,121,152,17,10
140,49,31,21,15,10000,14,35,28,23,13,12,9,35,11,10,3,10002,10002,10001,5,10001,17,5,27,10002,8,2,10001,6,10002,20000,20000,20000,10001,10001,20000,10002,25,20000,20000,2,10001,3,4,7,10003,20000,10,20000,4,20000,20000,10003,20000,20000,20000,20000,20000,5,10001,10002,10001,11,14,29,2,20000,11,10009,12,5,10004,5,10001,10001,9,9,9,3,12,10003,10001,10001,10002,20000,20000,30,20000,10001,3,10001,10002,20000,4,10001,10001,10003,2,10003,14,10001,10001,10001,20000,20000,10004,10005,20000,10001,10003,10005,5,7,2,20000,20000,20000,10001,10001,6,4,2,20000,53,12,5,11,4,43,10001,4,23,20,3,14,8,20,10001,8,4,13,10001,11,10001,3,10002,10005,20000,20000,10001,20000,20000,10001,12,20000,20000,10002,10,10002,10001,10001,3,3,20000,20000,20000,20000,20000,10001,10001,10001,10001,10001,10007,20000,2,10001,2,22,3,10001,2,8,13,20000,20000,10004,31,12,16,7,5,8,5,6,9,2,10001,10003,6,20000,20000,20000,2,20000,3,31,2,20000,20000,20000,10001,10003,10002,10002,17,10013,10001,3,10001,4,20000,10001,10001,2,10001,20000,10001,20000,10002,10001,7,10001,20000,10001,20000,20000,14,10018,10,10002,54,2,18,6,10001,23,2,11,10001,11,9,14,10004,108,102,18,14
101,34,19,9,10,14,10000,20,14,12,7,30,5,17,4,7,10001,10002,20000,20000,3,10001,10005,20000,15,10002,5,10001,20000,3,10002,20000,20000,20000,20000,3,20000,20000,13,20000,20000,10001,10001,10002,2,8,20000,20000,5,20000,10001,20000,10001,2,2,20000,20000,20000,20000,8,10002,10004,10001,10004,6,18,3,10001,6,8,4,5,3,10001,10001,10001,10,2,10001,10002,5,10002,20000,20000,20000,20000,20000,23,10001,20000,2,10001,20000,10002,3,20000,20000,20000,10001,4,11,2,20000,10001,20000,20000,10003,10004,20000,10001,10002,10003,2,6,20000,10001,3,10001,20000,2,10002,20000,10002,20000,39,7,3,19,10002,33,7,10003,11,45,5,13,3,3,20000,10002,20000,10005,20000,4,20000,10001,20000,3,20000,20000,10001,20000,20000,20000,6,10001,20000,10002,6,20000,20000,10001,10002,20000,10001,20000,20000,20000,10002,3,20000,2,20000,20000,6,10001,10001,10001,3,15,10001,10001,4,3,11,10002,2,8,24,11,10008,6,3,9,8,3,5,20000,10001,20000,10002,3,10001,20000,20000,10002,10001,15,10001,20000,10001,20000,10003,20000,10003,10001,11,10004,20000,10001,20000,10001,10001,20000,20000,10001,20000,20000,20000,20000,2,20000,5,10001,2,20000,20000,20000,11,12,8,10003,34,10001,13,6,20000,6,20000,2,3,5,20000,7,3,73,53,12,8
200,46,50,23,23,35,20,10000,53,39,15,21,10,48,15,11,3,10004,20000,10002,6,10001,21,10001,28,3,5,10003,10001,7,20000,10002,20000,20000,20000,3,20000,10001,13,20000,20000,10001,20000,10001,3,5,10001,10002,10010,20000,3,20000,10001,10004,10002,20000,20000,10003,10001,8,20000,10006,20000,5,10008,18,10002,20000,13,10,12,3,5,4,20000,10001,4,10005,10001,3,14,10001,10001,2,10001,20000,20000,30,20000,10003,10005,10001,10002,4,10,10001,10002,4,2,8,16,20000,10001,2,2,20000,10001,7,20000,10001,10001,10005,3,4,10002,10001,4,10002,10001,10001,10002,3,2,10001,69,17,3,10,5,44,5,5,22,23,10001,19,10,11,10001,5,10003,14,2,10,20000,2,10001,4,20000,20000,10002,10001,20000,10001,8,10002,10002,10001,16,2,10001,20000,3,20000,10002,20000,10002,10002,10005,6,10002,10001,10001,10001,14,20000,2,10001,9,17,2,10001,3,10001,10,10001,20000,3,30,10008,15,6,3,10,5,3,9,10001,10002,2,10012,10004,20000,20000,4,20000,2,26,10001,10007,10003,20000,10004,10005,10006,2,24,10023,10001,10001,20000,10010,20000,10001,10001,10001,20000,20000,20000,10001,20000,20000,10006,10002,10003,10001,10001,10001,20,18,10014,10006,51,7,40,9,10001,19,10001,6,10002,9,10010,10,4,114,101,18,18
417,203,51,37,39,28,14,53,10000,28,57,10023,21,115,41,140,10008,17,10008,10004,40,10006,145,10018,384,10007,54,65,4,14,19,8,8,5,10003,24,3,10006,285,6,20000,15,8,23,32,43,3,20000,22,10002,10008,10001,10002,26,8,10003,10001,10007,2,31,20000,4,20000,17,20,151,10009,10002,10015,18,34,10,10008,10008,10002,10003,10015,10016,10006,10019,100,10028,20000,5,10009,10006,10004,336,10002,10003,10011,10019,10004,11,10004,10005,6,10012,10007,19,126,11,10006,10,5,10006,16,7,10010,10007,11,10,14,10085,10030,14,4,10025,10006,10004,22,24,10008,10015,523,119,10023,10022,10063,307,10019,10024,176,60,17,70,10041,102,10008,10025,31,29,8,23,10004,10009,4,10059,10002,10001,15,10003,10002,10002,10140,10020,10001,10010,122,10003,10009,10008,11,10006,10012,10009,10005,10010,13,37,10013,10002,10003,8,10,10002,7,2,10007,139,10010,10016,10009,11,10034,10002,10010,10018,164,9,13,10014,10021,44,10010,10021,76,9,16,10004,9,11,10001,10004,5,10012,10005,162,10001,10006,10001,20000,9,9,10006,10006,169,7,10003,10003,10004,7,10003,10014,20000,10010,10001,10002,10006,2,10005,10004,12,9,10003,10001,10006,20000,57,22,28,7,561,31,75,46,13,150,17,38,44,10100,9,49,18,1493,1354,298,136
249,70,31,24,20,23,12,39,28,10000,22,5,8,36,13,5,2,10005,10001,20000,10002,10002,12,10003,25,10002,4,5,20000,6,20000,20000,10001,20000,2,10001,20000,10001,22,20000,20000,20000,10001,10001,6,3,10001,20000,5,20000,20000,20000,10001,4,4,10001,20000,20000,10001,10004,10001,10003,20000,4,10005,18,10002,10001,5,2,8,10002,10002,10001,3,20000,10,20000,7,10001,8,3,10001,20000,10002,10002,10001,74,20000,10001,10003,10003,10001,10001,6,10001,10001,2,10002,8,16,10002,10001,20000,10001,20000,6,10007,20000,10001,10002,10005,2,8,10003,20000,10003,4,20000,20000,10004,5,2,10002,92,16,3,4,10003,66,3,10004,28,15,10003,21,13,6,20000,10003,10002,10,20000,4,20000,10002,2,5,20000,10001,10001,20000,20000,10002,7,20000,20000,10002,8,10002,20000,20000,2,20000,20000,10001,20000,10001,20000,5,20000,10001,10003,20000,10008,3,4,10003,4,15,10001,10001,10001,4,6,20000,3,4,23,10005,10009,10003,2,6,5,10001,4,20000,10001,10002,10006,20000,20000,2,10001,20000,10001,22,2,20000,20000,20000,10002,10002,2,20000,22,10008,20000,10001,20000,7,20000,10002,10002,10001,20000,10001,20000,10003,20000,20000,3,3,10001,20000,20000,20000,9,10,9,10002,48,7,19,3,10001,17,10001,7,5,10004,10004,9,8,107,135,17,12
